2026-09-02 23:28:40.551 INFO: ===========VERIFYING SETTINGS===========
2026-09-02 23:28:40.551 INFO: Stage Two is activated as start_stage_two was defined
2026-09-02 23:28:40.551 WARNING: start_stage_two must be less than max_num_epochs, got 501 > 500
2026-09-02 23:28:40.551 WARNING: Stage Two will not start, as start_stage_two > max_num_epochs
2026-09-02 23:28:40.551 INFO: MACE version: 0.3.16
2026-09-02 23:28:40.625 INFO: CUDA version: 12.6, CUDA device: 0
2026-09-02 23:28:40.677 INFO: ===========LOADING INPUT DATA===========
2026-09-02 23:28:40.677 INFO: Using heads: ['Default']
2026-09-02 23:28:40.677 INFO: Using the key specifications to parse data:
2026-09-02 23:28:40.677 INFO: Default: KeySpecification(info_keys={'energy': 'TotEnergy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'force', 'charges': 'REF_charges'})
2026-09-02 23:28:40.677 INFO: =============    Processing head Default     ===========
2026-09-02 23:28:40.810 INFO: Training set 1/1 [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:40.812 INFO: Total Training set [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:40.832 INFO: Validation set 1/1 [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:40.832 INFO: Total Validation set [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:40.832 INFO: Total number of configurations: train=206, valid=11, tests=[],
2026-09-02 23:28:40.832 INFO: Using atomic numbers from command line argument
2026-09-02 23:28:40.832 INFO: Atomic Numbers used: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 26, 29, 30, 35, 53]
2026-09-02 23:28:40.832 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2026-09-02 23:28:40.833 INFO: Atomic Energies used (z: eV) for head Default: {1: -13.44479871561175, 2: -78.82026497397555, 3: -203.32889490923526, 4: -398.9476678874043, 5: -670.7505467717353, 6: -1029.852812546429, 7: -1485.5394904484108, 8: -2042.975987335815, 9: -2714.2417581011205, 10: -3508.7436184608446, 11: -4415.242408190776, 12: -5443.898798172279, 13: -6594.619151072571, 14: -7873.684872727564, 15: -9285.660884444838, 16: -10832.622086200296, 17: -12520.671203385575, 18: -14354.28030489181, 19: -16323.546294804388, 20: -18436.482948520596, 26: -34384.00563450578, 29: -44637.392129868334, 30: -48417.153705836645, 35: -70041.25095534947, 53: -8099.879137037657}
2026-09-02 23:28:40.833 INFO: Processing datasets for head 'Default'
2026-09-02 23:28:41.004 INFO: Combining 1 list datasets for head 'Default'
2026-09-02 23:28:41.013 INFO: Combining 1 list datasets for head 'Default_valid'
2026-09-02 23:28:41.014 INFO: Combined validation datasets for Default
2026-09-02 23:28:41.014 INFO: Head 'Default' training dataset size: 206
2026-09-02 23:28:41.014 INFO: Computing average number of neighbors
2026-09-02 23:28:41.296 INFO: Average number of neighbors: 21.37837791442871
2026-09-02 23:28:41.297 INFO: During training the following quantities will be reported: energy, forces
2026-09-02 23:28:41.297 INFO: ===========MODEL DETAILS===========
2026-09-02 23:28:41.440 INFO: Building model
2026-09-02 23:28:41.440 INFO: Message passing with 32 channels and max_L=0 (32x0e)
2026-09-02 23:28:41.441 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2026-09-02 23:28:41.441 INFO: 8 radial and 5 basis functions
2026-09-02 23:28:41.441 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2026-09-02 23:28:41.441 INFO: Distance transform for radial basis functions: None
2026-09-02 23:28:41.441 INFO: Hidden irreps: 32x0e
2026-09-02 23:28:42.440 INFO: ===========OPTIMIZER INFORMATION===========
2026-09-02 23:28:42.440 INFO: Using ADAM as parameter optimizer
2026-09-02 23:28:42.440 INFO: Batch size: 4
2026-09-02 23:28:42.440 INFO: Using Exponential Moving Average with decay: 0.99
2026-09-02 23:28:42.440 INFO: Number of gradient updates: 25750
2026-09-02 23:28:42.440 INFO: Learning rate: 0.01, weight decay: 1e-06
2026-09-02 23:28:42.440 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2026-09-02 23:28:42.441 INFO: === Layer's learning rates ===
2026-09-02 23:28:42.441 INFO: Param group 0: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 1: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 2: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 3: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 4: lr = 0.01
2026-09-02 23:28:42.442 INFO: Using gradient clipping with tolerance=10.000
2026-09-02 23:28:42.442 INFO: 
2026-09-02 23:28:42.442 INFO: ===========TRAINING===========
2026-09-02 23:28:42.442 INFO: Started training, reporting errors on validation set
2026-09-02 23:28:42.442 INFO: Loss metrics on validation set
2026-09-02 23:28:43.483 INFO: Initial: head: Default, loss=2.58452797, RMSE_E_per_atom= 5004.23 meV, RMSE_F=  184.05 meV / A
2026-09-02 23:28:51.640 INFO: Epoch 0: head: Default, loss=0.99580628, RMSE_E_per_atom= 2083.55 meV, RMSE_F=  257.15 meV / A
2026-09-02 23:28:54.872 INFO: Epoch 1: head: Default, loss=0.35908434, RMSE_E_per_atom=  504.64 meV, RMSE_F=  192.23 meV / A
2026-09-02 23:28:57.645 INFO: Epoch 2: head: Default, loss=0.27109820, RMSE_E_per_atom=  114.97 meV, RMSE_F=  172.30 meV / A
2026-09-02 23:29:00.411 INFO: Epoch 3: head: Default, loss=0.21813725, RMSE_E_per_atom=   88.18 meV, RMSE_F=  154.65 meV / A
2026-09-02 23:29:03.193 INFO: Epoch 4: head: Default, loss=0.19699287, RMSE_E_per_atom=   73.69 meV, RMSE_F=  147.02 meV / A
2026-09-02 23:29:05.978 INFO: Epoch 5: head: Default, loss=0.17537767, RMSE_E_per_atom=   39.44 meV, RMSE_F=  138.84 meV / A
2026-09-02 23:29:08.757 INFO: Epoch 6: head: Default, loss=0.15749334, RMSE_E_per_atom=   22.62 meV, RMSE_F=  131.60 meV / A
2026-09-02 23:29:11.540 INFO: Epoch 7: head: Default, loss=0.13823058, RMSE_E_per_atom=    8.67 meV, RMSE_F=  123.31 meV / A
2026-09-02 23:29:14.326 INFO: Epoch 8: head: Default, loss=0.12456275, RMSE_E_per_atom=   11.82 meV, RMSE_F=  117.05 meV / A
2026-09-02 23:29:17.118 INFO: Epoch 9: head: Default, loss=0.11376757, RMSE_E_per_atom=    8.81 meV, RMSE_F=  111.86 meV / A
2026-09-02 23:29:19.905 INFO: Epoch 10: head: Default, loss=0.10398402, RMSE_E_per_atom=    7.76 meV, RMSE_F=  106.95 meV / A
2026-09-02 23:29:22.690 INFO: Epoch 11: head: Default, loss=0.09557800, RMSE_E_per_atom=    8.17 meV, RMSE_F=  102.53 meV / A
2026-09-02 23:29:25.478 INFO: Epoch 12: head: Default, loss=0.09116299, RMSE_E_per_atom=    7.36 meV, RMSE_F=  100.14 meV / A
2026-09-02 23:29:28.270 INFO: Epoch 13: head: Default, loss=0.08174729, RMSE_E_per_atom=    7.45 meV, RMSE_F=   94.82 meV / A
2026-09-02 23:29:31.061 INFO: Epoch 14: head: Default, loss=0.07793378, RMSE_E_per_atom=   20.42 meV, RMSE_F=   92.57 meV / A
2026-09-02 23:29:33.843 INFO: Epoch 15: head: Default, loss=0.07314015, RMSE_E_per_atom=    6.74 meV, RMSE_F=   89.69 meV / A
2026-09-02 23:29:36.630 INFO: Epoch 16: head: Default, loss=0.07008541, RMSE_E_per_atom=   11.06 meV, RMSE_F=   87.80 meV / A
2026-09-02 23:29:39.416 INFO: Epoch 17: head: Default, loss=0.06717701, RMSE_E_per_atom=   11.71 meV, RMSE_F=   85.95 meV / A
2026-09-02 23:29:42.202 INFO: Epoch 18: head: Default, loss=0.06385650, RMSE_E_per_atom=    9.64 meV, RMSE_F=   83.81 meV / A
2026-09-02 23:29:44.986 INFO: Epoch 19: head: Default, loss=0.05957548, RMSE_E_per_atom=    6.68 meV, RMSE_F=   80.95 meV / A
2026-09-02 23:29:47.762 INFO: Epoch 20: head: Default, loss=0.05603280, RMSE_E_per_atom=    6.73 meV, RMSE_F=   78.51 meV / A
2026-09-02 23:29:50.539 INFO: Epoch 21: head: Default, loss=0.05127936, RMSE_E_per_atom=    5.63 meV, RMSE_F=   75.10 meV / A
2026-09-02 23:29:53.318 INFO: Epoch 22: head: Default, loss=0.04829129, RMSE_E_per_atom=    5.24 meV, RMSE_F=   72.88 meV / A
2026-09-02 23:29:56.088 INFO: Epoch 23: head: Default, loss=0.04561572, RMSE_E_per_atom=    6.63 meV, RMSE_F=   70.83 meV / A
2026-09-02 23:29:58.866 INFO: Epoch 24: head: Default, loss=0.04424134, RMSE_E_per_atom=    7.62 meV, RMSE_F=   69.76 meV / A
2026-09-02 23:30:01.635 INFO: Epoch 25: head: Default, loss=0.04231382, RMSE_E_per_atom=    5.07 meV, RMSE_F=   68.22 meV / A
2026-09-02 23:30:04.409 INFO: Epoch 26: head: Default, loss=0.03950219, RMSE_E_per_atom=    5.98 meV, RMSE_F=   65.92 meV / A
2026-09-02 23:30:07.187 INFO: Epoch 27: head: Default, loss=0.03790974, RMSE_E_per_atom=    7.42 meV, RMSE_F=   64.57 meV / A
2026-09-02 23:30:09.959 INFO: Epoch 28: head: Default, loss=0.03745286, RMSE_E_per_atom=   11.17 meV, RMSE_F=   64.18 meV / A
2026-09-02 23:30:12.744 INFO: Epoch 29: head: Default, loss=0.03695533, RMSE_E_per_atom=    8.43 meV, RMSE_F=   63.75 meV / A
2026-09-02 23:30:15.531 INFO: Epoch 30: head: Default, loss=0.03460452, RMSE_E_per_atom=    7.17 meV, RMSE_F=   61.69 meV / A
2026-09-02 23:30:18.318 INFO: Epoch 31: head: Default, loss=0.03289083, RMSE_E_per_atom=    4.91 meV, RMSE_F=   60.15 meV / A
2026-09-02 23:30:21.199 INFO: Epoch 32: head: Default, loss=0.03144794, RMSE_E_per_atom=    8.01 meV, RMSE_F=   58.81 meV / A
2026-09-02 23:30:24.085 INFO: Epoch 33: head: Default, loss=0.03095529, RMSE_E_per_atom=    6.45 meV, RMSE_F=   58.35 meV / A
2026-09-02 23:30:26.969 INFO: Epoch 34: head: Default, loss=0.02951732, RMSE_E_per_atom=    6.29 meV, RMSE_F=   56.98 meV / A
2026-09-02 23:30:29.855 INFO: Epoch 35: head: Default, loss=0.02842779, RMSE_E_per_atom=    7.69 meV, RMSE_F=   55.91 meV / A
