2026-09-02 23:28:30.633 INFO: ===========VERIFYING SETTINGS===========
2026-09-02 23:28:30.634 INFO: Stage Two is activated as start_stage_two was defined
2026-09-02 23:28:30.634 WARNING: start_stage_two must be less than max_num_epochs, got 501 > 500
2026-09-02 23:28:30.634 WARNING: Stage Two will not start, as start_stage_two > max_num_epochs
2026-09-02 23:28:30.634 INFO: MACE version: 0.3.16
2026-09-02 23:28:30.710 INFO: CUDA version: 12.6, CUDA device: 0
2026-09-02 23:28:30.761 INFO: ===========LOADING INPUT DATA===========
2026-09-02 23:28:30.761 INFO: Using heads: ['Default']
2026-09-02 23:28:30.761 INFO: Using the key specifications to parse data:
2026-09-02 23:28:30.761 INFO: Default: KeySpecification(info_keys={'energy': 'TotEnergy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'force', 'charges': 'REF_charges'})
2026-09-02 23:28:30.761 INFO: =============    Processing head Default     ===========
2026-09-02 23:28:30.894 INFO: Training set 1/1 [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:30.895 INFO: Total Training set [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:30.916 INFO: Validation set 1/1 [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:30.916 INFO: Total Validation set [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:30.916 INFO: Total number of configurations: train=206, valid=11, tests=[],
2026-09-02 23:28:30.916 INFO: Using atomic numbers from command line argument
2026-09-02 23:28:30.916 INFO: Atomic Numbers used: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 26, 29, 30, 35, 53]
2026-09-02 23:28:30.917 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2026-09-02 23:28:30.917 INFO: Atomic Energies used (z: eV) for head Default: {1: -13.44479871561175, 2: -78.82026497397555, 3: -203.32889490923526, 4: -398.9476678874043, 5: -670.7505467717353, 6: -1029.852812546429, 7: -1485.5394904484108, 8: -2042.975987335815, 9: -2714.2417581011205, 10: -3508.7436184608446, 11: -4415.242408190776, 12: -5443.898798172279, 13: -6594.619151072571, 14: -7873.684872727564, 15: -9285.660884444838, 16: -10832.622086200296, 17: -12520.671203385575, 18: -14354.28030489181, 19: -16323.546294804388, 20: -18436.482948520596, 26: -34384.00563450578, 29: -44637.392129868334, 30: -48417.153705836645, 35: -70041.25095534947, 53: -8099.879137037657}
2026-09-02 23:28:30.917 INFO: Processing datasets for head 'Default'
2026-09-02 23:28:31.087 INFO: Combining 1 list datasets for head 'Default'
2026-09-02 23:28:31.097 INFO: Combining 1 list datasets for head 'Default_valid'
2026-09-02 23:28:31.097 INFO: Combined validation datasets for Default
2026-09-02 23:28:31.097 INFO: Head 'Default' training dataset size: 206
2026-09-02 23:28:31.098 INFO: Computing average number of neighbors
2026-09-02 23:28:31.391 INFO: Average number of neighbors: 21.397192001342773
2026-09-02 23:28:31.391 INFO: During training the following quantities will be reported: energy, forces
2026-09-02 23:28:31.391 INFO: ===========MODEL DETAILS===========
2026-09-02 23:28:31.579 INFO: Building model
2026-09-02 23:28:31.580 INFO: Message passing with 32 channels and max_L=0 (32x0e)
2026-09-02 23:28:31.580 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2026-09-02 23:28:31.580 INFO: 8 radial and 5 basis functions
2026-09-02 23:28:31.580 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2026-09-02 23:28:31.580 INFO: Distance transform for radial basis functions: None
2026-09-02 23:28:31.580 INFO: Hidden irreps: 32x0e
2026-09-02 23:28:32.582 INFO: ===========OPTIMIZER INFORMATION===========
2026-09-02 23:28:32.583 INFO: Using ADAM as parameter optimizer
2026-09-02 23:28:32.583 INFO: Batch size: 4
2026-09-02 23:28:32.583 INFO: Using Exponential Moving Average with decay: 0.99
2026-09-02 23:28:32.583 INFO: Number of gradient updates: 25750
2026-09-02 23:28:32.583 INFO: Learning rate: 0.01, weight decay: 1e-06
2026-09-02 23:28:32.583 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2026-09-02 23:28:32.583 INFO: === Layer's learning rates ===
2026-09-02 23:28:32.584 INFO: Param group 0: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 1: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 2: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 3: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 4: lr = 0.01
2026-09-02 23:28:32.585 INFO: Using gradient clipping with tolerance=10.000
2026-09-02 23:28:32.585 INFO: 
2026-09-02 23:28:32.585 INFO: ===========TRAINING===========
2026-09-02 23:28:32.585 INFO: Started training, reporting errors on validation set
2026-09-02 23:28:32.585 INFO: Loss metrics on validation set
2026-09-02 23:28:33.655 INFO: Initial: head: Default, loss=2.58477521, RMSE_E_per_atom= 5004.50 meV, RMSE_F=  184.05 meV / A
2026-09-02 23:28:41.786 INFO: Epoch 0: head: Default, loss=1.48428071, RMSE_E_per_atom= 2795.84 meV, RMSE_F=  291.73 meV / A
2026-09-02 23:28:44.945 INFO: Epoch 1: head: Default, loss=0.69666582, RMSE_E_per_atom= 1494.55 meV, RMSE_F=  233.02 meV / A
2026-09-02 23:28:47.698 INFO: Epoch 2: head: Default, loss=0.34539306, RMSE_E_per_atom=  233.99 meV, RMSE_F=  193.51 meV / A
2026-09-02 23:28:50.420 INFO: Epoch 3: head: Default, loss=0.27292049, RMSE_E_per_atom=  196.97 meV, RMSE_F=  172.14 meV / A
2026-09-02 23:28:53.150 INFO: Epoch 4: head: Default, loss=0.23238960, RMSE_E_per_atom=   63.75 meV, RMSE_F=  159.76 meV / A
2026-09-02 23:28:55.884 INFO: Epoch 5: head: Default, loss=0.19287510, RMSE_E_per_atom=   12.54 meV, RMSE_F=  145.65 meV / A
2026-09-02 23:28:58.610 INFO: Epoch 6: head: Default, loss=0.16560975, RMSE_E_per_atom=   46.48 meV, RMSE_F=  134.89 meV / A
2026-09-02 23:29:01.334 INFO: Epoch 7: head: Default, loss=0.14946073, RMSE_E_per_atom=   21.05 meV, RMSE_F=  128.20 meV / A
2026-09-02 23:29:04.075 INFO: Epoch 8: head: Default, loss=0.13349524, RMSE_E_per_atom=   19.61 meV, RMSE_F=  121.16 meV / A
2026-09-02 23:29:06.827 INFO: Epoch 9: head: Default, loss=0.12536836, RMSE_E_per_atom=   11.92 meV, RMSE_F=  117.43 meV / A
2026-09-02 23:29:09.567 INFO: Epoch 10: head: Default, loss=0.11702347, RMSE_E_per_atom=    9.76 meV, RMSE_F=  113.45 meV / A
2026-09-02 23:29:12.312 INFO: Epoch 11: head: Default, loss=0.10636532, RMSE_E_per_atom=   12.10 meV, RMSE_F=  108.16 meV / A
2026-09-02 23:29:15.060 INFO: Epoch 12: head: Default, loss=0.09979617, RMSE_E_per_atom=    9.90 meV, RMSE_F=  104.77 meV / A
2026-09-02 23:29:17.806 INFO: Epoch 13: head: Default, loss=0.09453878, RMSE_E_per_atom=   18.64 meV, RMSE_F=  101.96 meV / A
2026-09-02 23:29:20.557 INFO: Epoch 14: head: Default, loss=0.08908968, RMSE_E_per_atom=   11.33 meV, RMSE_F=   98.99 meV / A
2026-09-02 23:29:23.306 INFO: Epoch 15: head: Default, loss=0.08346894, RMSE_E_per_atom=    9.88 meV, RMSE_F=   95.82 meV / A
2026-09-02 23:29:26.058 INFO: Epoch 16: head: Default, loss=0.07877737, RMSE_E_per_atom=    7.36 meV, RMSE_F=   93.09 meV / A
2026-09-02 23:29:28.815 INFO: Epoch 17: head: Default, loss=0.07454085, RMSE_E_per_atom=    7.70 meV, RMSE_F=   90.55 meV / A
2026-09-02 23:29:31.565 INFO: Epoch 18: head: Default, loss=0.07050027, RMSE_E_per_atom=    7.77 meV, RMSE_F=   88.06 meV / A
2026-09-02 23:29:34.306 INFO: Epoch 19: head: Default, loss=0.06505624, RMSE_E_per_atom=   21.27 meV, RMSE_F=   84.57 meV / A
2026-09-02 23:29:37.049 INFO: Epoch 20: head: Default, loss=0.06192103, RMSE_E_per_atom=    6.27 meV, RMSE_F=   82.53 meV / A
2026-09-02 23:29:39.793 INFO: Epoch 21: head: Default, loss=0.05810020, RMSE_E_per_atom=    6.17 meV, RMSE_F=   79.94 meV / A
2026-09-02 23:29:42.536 INFO: Epoch 22: head: Default, loss=0.05497641, RMSE_E_per_atom=    6.15 meV, RMSE_F=   77.76 meV / A
2026-09-02 23:29:45.281 INFO: Epoch 23: head: Default, loss=0.05220741, RMSE_E_per_atom=    5.40 meV, RMSE_F=   75.78 meV / A
2026-09-02 23:29:48.020 INFO: Epoch 24: head: Default, loss=0.04823018, RMSE_E_per_atom=    5.51 meV, RMSE_F=   72.84 meV / A
2026-09-02 23:29:50.756 INFO: Epoch 25: head: Default, loss=0.04532400, RMSE_E_per_atom=    5.53 meV, RMSE_F=   70.61 meV / A
2026-09-02 23:29:53.501 INFO: Epoch 26: head: Default, loss=0.04382389, RMSE_E_per_atom=   21.89 meV, RMSE_F=   69.40 meV / A
2026-09-02 23:29:56.263 INFO: Epoch 27: head: Default, loss=0.04331986, RMSE_E_per_atom=   10.59 meV, RMSE_F=   69.02 meV / A
2026-09-02 23:29:58.997 INFO: Epoch 28: head: Default, loss=0.04142458, RMSE_E_per_atom=    7.65 meV, RMSE_F=   67.50 meV / A
2026-09-02 23:30:01.728 INFO: Epoch 29: head: Default, loss=0.03969705, RMSE_E_per_atom=    8.12 meV, RMSE_F=   66.08 meV / A
2026-09-02 23:30:04.459 INFO: Epoch 30: head: Default, loss=0.03759056, RMSE_E_per_atom=    4.43 meV, RMSE_F=   64.30 meV / A
2026-09-02 23:30:07.195 INFO: Epoch 31: head: Default, loss=0.03593622, RMSE_E_per_atom=    4.98 meV, RMSE_F=   62.87 meV / A
2026-09-02 23:30:09.927 INFO: Epoch 32: head: Default, loss=0.03447353, RMSE_E_per_atom=    7.60 meV, RMSE_F=   61.58 meV / A
2026-09-02 23:30:12.671 INFO: Epoch 33: head: Default, loss=0.03431750, RMSE_E_per_atom=    8.91 meV, RMSE_F=   61.43 meV / A
2026-09-02 23:30:15.424 INFO: Epoch 34: head: Default, loss=0.03312512, RMSE_E_per_atom=    3.95 meV, RMSE_F=   60.36 meV / A
2026-09-02 23:30:18.176 INFO: Epoch 35: head: Default, loss=0.03148222, RMSE_E_per_atom=    4.46 meV, RMSE_F=   58.85 meV / A
